iter	Passed	Remaining
0	1	150
1	2	138
2	4	134
3	5	125
4	6	124
5	7	125
6	9	123
7	10	122
8	11	121
9	13	119
10	14	118
11	15	116
12	17	115
13	18	114
14	19	113
15	21	111
16	22	110
17	24	109
18	25	107
19	26	106
20	27	104
21	29	103
22	30	101
23	31	100
24	33	99
25	34	97
26	35	96
27	37	95
28	38	93
29	39	92
30	40	90
31	42	89
32	43	88
33	44	86
34	45	85
35	47	84
36	48	83
37	50	81
38	51	80
39	52	79
40	54	77
41	54	75
42	55	74
43	57	72
44	58	71
45	59	70
46	60	68
47	62	67
48	63	66
49	64	64
50	66	63
51	67	62
52	68	60
53	70	59
54	70	58
55	72	56
56	73	55
57	74	54
58	76	52
59	77	51
60	78	50
61	80	49
62	81	47
63	82	46
64	84	45
65	85	44
66	86	42
67	88	41
68	89	40
69	90	38
70	91	37
71	93	36
72	94	35
73	96	33
74	97	32
75	98	31
76	100	29
77	101	28
78	102	27
79	103	25
80	105	24
81	106	23
82	107	22
83	109	20
84	110	19
85	111	18
86	113	16
87	114	15
88	115	14
89	117	13
90	118	11
91	119	10
92	121	9
93	123	7
94	124	6
95	126	5
96	128	3
97	129	2
98	130	1
99	132	0
